Código;Descrição Resumida
"2005001006";"BARRA CHATA, AC, A36, DIM 1/8 x 1 pol (3.18 x 25.40mm)"
"2005001008";"BARRA CHATA, AC, A36, DIM 1/8 x 1.1/2 pol (3.18 x 38.10mm)"
"2005001017";"BARRA CHATA, AC, A36, DIM 3/16 x 1.1/2 pol (4.76 x 38.10mm)"
"2005001018";"BARRA CHATA, AC, A36, DIM 3/16 x 2 pol (4.76 x 50.80mm)"
"2005001021";"BARRA CHATA, AC, A36, DIM 1/4 x 3/4 pol (6.35 x 19.05mm)"
"2005001023";"BARRA CHATA, AC, A36, DIM 1/4 x 1 pol (6.35 x 25.40mm)"
"2005001024";"BARRA CHATA, AC, A36, DIM 1/4 x 1.1/4 pol (6.35 x 31.75mm)"
"2005001025";"BARRA CHATA, AC, A36, DIM 1/4 x 1.1/2 pol (6.35 x 38.10mm)"
"2005001026";"BARRA CHATA, AC, A36, DIM 1/4 x 1.3/4 pol (6.35 x 44.45mm)"
"2005001027";"BARRA CHATA, AC, A36, DIM 1/4 x 2 pol (6.35 x 50.80mm)"
"2005001028";"BARRA CHATA, AC, A36, DIM 1/4 x 2.1/2 pol (6.35 x 63.50mm)"
"2005001029";"BARRA CHATA, AC, A36, DIM 1/4 x 3 pol (6.35 x 76.20mm)"
"2005001030";"BARRA CHATA, AC, A36, DIM 1/4 x 4 pol (6.35 x 101.60mm)"
"2005001031";"BARRA CHATA, AC, A36, DIM 5/16 x 1 pol (6.35 x 25.40mm)"
"2005001032";"BARRA CHATA, AC, A36, DIM 5/16 x 1.1/4 pol (7.94 x 31.75mm)"
"2005001033";"BARRA CHATA, AC, A36, DIM 5/16 x 1.1/2 pol (7.94 x 38.10mm)"
"2005001034";"BARRA CHATA, AC, A36, DIM 5/16 x 2 pol (7.94 x 50.80mm)"
"2005001035";"BARRA CHATA, AC, A36, DIM 5/16 x 2.1/2 pol (7.94 x 63.50mm)"
"2005001037";"BARRA CHATA, AC, A36, DIM 5/16 x 4 pol (7.94 x 101.60mm)"
"2005001038";"BARRA CHATA, AC, A36, DIM 5/16 x 5 pol (7.94 x 127.00mm)"
"2005001039";"BARRA CHATA, AC, A36, DIM 5/16 x 6 pol (7.94 x 152.40mm)"
"2005001040";"BARRA CHATA, AC, A36, DIM 3/8 x 1 pol (9.53 x 25.40mm)"
"2005001042";"BARRA CHATA, AC, A36, DIM 3/8 x 1.1/2 pol (9.53 x 38.10mm)"
"2005001044";"BARRA CHATA, AC, A36, DIM 3/8 x 2 pol (9.53 x 50.80mm)"
"2005001045";"BARRA CHATA, AC, A36, DIM 3/8 x 2.1/2 pol (9.53 x 63.50mm)"
"2005001046";"BARRA CHATA, AC, A36, DIM 3/8 x 3 pol (9.53 x 76.20mm)"
"2005001047";"BARRA CHATA, AC, A36, DIM 3/8 x 4 pol (9.53 x 101.60mm)"
"2005001052";"BARRA CHATA, AC, A36, DIM 1/2 x 2 pol (12.70 x 50.80mm)"
"2005001053";"BARRA CHATA, AC, A36, DIM 1/2 x 2.1/2 pol (12.70 x 63.50mm)"
"2005001054";"BARRA CHATA, AC, A36, DIM 1/2 x 3 pol (12.70 x 76.20mm)"
"2005001055";"BARRA CHATA, AC, A36, DIM 1/2 x 4 pol (12.70 x 101.60mm)"
"2005001057";"BARRA CHATA, AC, A36, DIM 1/2 x 6 pol (12.70 x 152.40mm)"
"2005001059";"BARRA CHATA, AC, A36, DIM 5/8 x 2 pol (15.88 x 50.80mm)"
"2005001060";"BARRA CHATA, AC, A36, DIM 5/8 x 2.1/2 pol (15.88 x 63.50mm)"
"2005001062";"BARRA CHATA, AC, A36, DIM 5/8 x 4 pol (15.88 x 101.60mm)"
"2005001064";"BARRA CHATA, AC, A36, DIM 5/8 x 6 pol (15.88 x 152.40mm)"
"2005001066";"BARRA CHATA, AC, A36, DIM 3/4 x 2.1/2 pol (19.05 x 63.50mm)"
"2005001068";"BARRA CHATA, AC, A36, DIM 3/4 x 4 pol (19.05 x 101.60mm)"
"2005001070";"BARRA CHATA, AC, A36, DIM 3/4 x 6 pol (19.05 x 152.40mm)"
"2005001081";"BARRA CHATA, AC, A36, DIM 3/8 x 6 pol (9.53 x 152.40mm)"
"2005001090";"BARRA CHATA (AC), A36, DIM 1/4 x 6 pol (6.35 x 152.4mm)"
"2005001091";"BARRA CHATA (AC), A36, DIM 5/16 x 5/8 pol (7.94 x 15.88mm)"
"2005001093";"BARRA CHATA (AC), A36, DIM 1/4 x 5 pol (6.35 x 127.00mm)"
"2005002030";"BARRA CHATA (AC), A572-50, DIM 1/4 x 4 pol (6.35 x 101.60mm)"
"2005002037";"BARRA CHATA (AC), A572-50, DIM 5/16 x 4 pol (7.94 x 101.60mm)"
"2005002062";"BARRA CHATA (AC), A572 GR.50 DIM 5/8 x 4 pol (15.88 x 101.60mm)"
"2005003017";"BARRA CHATA (AI), A240-316L DIM 3/16 x 1.1/2 pol (4.76 x 38.10mm)"
"2005003018";"BARRA CHATA (AI), A240-316L DIM 3/16 x 2 pol (4.76 x 50.80mm)"
"2005003024";"BARRA CHATA (AI), 316L DIM 1/4 x 1.1/4 pol (6.35 x 31.75mm)"
"2005003027";"BARRA CHATA (AI), A240-316L DIM 1/4 x 2 pol (6.35 x 50.80mm)"
"2005003030";"BARRA CHATA (AI), A240-316L DIM 1/4 x 4 pol (6.35 x 101.60mm)"
"2005003034";"BARRA CHATA (AI) A240 5/16 pol x 2 pol"
"2005003036";"BARRA CHATA (AI), AISI 316L DIM 5/16 x 3 pol (7.94 x 76.20mm)"
"2005003067";"BARRA CHATA (AI), 316L DIM 3/4 x 3 pol (19.05 x 76.20mm)"
"2005003068";"BARRA CHATA (AI), 316L DIM 3/4 x 4 pol (19.05 x 101.60mm)"
"2005003090";"BARRA CHATA (AI), 316L DIM 1/4 x 6 pol (6.35 x 152.40mm)"
"2005004028";"BARRA CHATA, AI, AISI 304, DIM. 1/4"" x 2.1/2"" (6.35mm x 63.50mm)"
"2005004030";"BARRA CHATA (AI), AISI 304 DIM 1/4 x 4 pol (6.35 x 101.60mm)"
"2005004045";"BARRA CHATA (AI), AISI 304 DIM 3/8 x 2.1/2 pol (9.53 x 63.50mm)"
"2005004090";"BARRA CHATA (AI), AISI 304 DIM 1/4 x 2.3/8 pol, 6.35 x 60.33mm"
"2005005028";"BARRA CHATA DE INOX (AISI 304L) DIM 1/4 x 2.1/2 pol (6.35 x 63.50)"
"2005006041";"BARRA CHATA EM ALUMINIO ASTM 6061 DIM 2 x 1/4 pol (50.80 x 6.35)"
"2010001003";"BARRA QUADRADA, AC, ASTM A36, DN 3/8 pol (9.53mm)"
"2010001007";"BARRA QUADRADA, AC, ASTM A36, DN 5/8 pol (15.88mm)"
"2010001009";"BARRA QUADRADA, AC, ASTM A36, DN 3/4 pol (19.05mm)"
"2010001010";"BARRA QUADRADA, AC, ASTM A36, DN 13/16 pol (20.64mm)"
"2010001013";"BARRA QUADRADA, AC, ASTM A36, DN 1 pol (25.40mm)"
"2010002015";"BARRA QUADRADA (Ai), ASTM A276 TP-316L, DN 1.1/8 pol (28.58mm)"
"2009001001";"BARRA REDONDA, AC, ASTM A36, DN 1/4 pol (6.35mm)"
"2009001002";"BARRA REDONDA, AC, ASTM A36, DN 5/16 pol (7.94mm)"
"2009001003";"BARRA REDONDA, AC, ASTM A36, DN 3/8 pol (9.53mm)"
"2009001005";"BARRA REDONDA, AC, ASTM A36, DN 1/2 pol (12.70mm)"
"2009001007";"BARRA REDONDA, AC, ASTM A36, DN 5/8 pol (15.88mm)"
"2009001009";"BARRA REDONDA, AC, ASTM A36, DN 3/4 pol (19.05mm)"
"2009001013";"BARRA REDONDA, AC, ASTM A36, DN 1 pol (25.40mm)"
"2009001021";"BARRA REDONDA, AC, ASTM A36, DN 1.1/2 pol (38.10mm)"
"2009001065";"BARRA REDONDA, AC, ASTM A36, DN 6 pol (152.40mm)"
"2009002001";"BARRA REDONDA, AC, SAE-1020, DN 1/4 pol (6.35mm)"
"2009002002";"BARRA REDONDA (AC), SAE-1020, DN 5/16 pol (7.94mm)"
"2009002003";"BARRA REDONDA, AC, SAE-1020, DN 3/8 pol (9.53mm)"
"2009002005";"BARRA REDONDA, AC, SAE-1020, DN 1/2 pol (12.70mm)"
"2009002007";"BARRA REDONDA (AC), SAE-1020, DN 5/8 pol (15.88mm)"
"2009002009";"BARRA REDONDA, AC, SAE-1020, DN 3/4 pol (19.05mm)"
"2009002011";"BARRA REDONDA (AC), SAE-1020, DN 7/8 pol (22.23mm)"
"2009002013";"BARRA REDONDA (AC), SAE-1020, DN 1 pol (25.40mm)"
"2009002025";"BARRA REDONDA, AC, SAE-1020, DN 1.3/4 pol (44.45mm)"
"2009002053";"BARRA REDONDA, AC, SAE-1020, DN 4 pol (101.60mm)"
"2009003005";"BARRA REDONDA (AI), AISI 316, DN 1/2 pol (12.70mm)"
"2009003011";"BARRA REDONDA (AI), AISI 316, DN 7/8 pol (22.23mm)"
"2009003013";"BARRA REDONDA (AI), AISI 316, DN 1 pol (25.40mm)"
"2009003095";"BARRA REDONDA (AI), AISI 316L, DN 3/8 pol (9.53mm)"
"2009004009";"BARRA REDONDA (AI), AISI 304, DN 3/4 pol (19.05mm)"
"2009005005";"BARRA REDONDA (AC), ASTM A572 GRAU 50, DN 1/2 pol (12.70mm)"
"2009006007";"BARRA REDONDA, ALUMINIO, ASTM 6351, DN 5/8 pol (15.87mm)"
"2410001007";"BARRA ROSCADA (AC) (Zn-Branco) ASTM A36 (1 pol)"
"2410002019";"BARRA ROSCADA (AL) (Zn-Ni) ASTM A193 B7 (3/8 pol)"
"243012008";"BARRA ROSCADA (AC) ASTM A36 GALVANIADA 1 POL"
"9001001001";"BARRA SEMI-CIRCULAR MACICA EM ACETAL, DN 3/4 pol"
"9001001002";"BARRA SEMI-CIRCULAR MACICA EM ACETAL, DN 1 pol"
"9001001024";"BARRA SEMI-CIRCULAR MACICA EM ACETAL, DN 1.1/2 pol"
"9001001172";"BARRA DE APOIO EM POLIACETAL 3 POL"
"9001001176";"BARRA SEMI-CIRCULAR MACICA EM ACETAL, DN 1/2 pol"
"1911003007";"CABO DE ATERRAMENTO () 90 GRAUS SECAO 25mm2"
"910018007";"CABO DE ACO 3/16 (4,76 mm)"
"910018008";"CLIP PARA CABO DE ACO 3/16"
"910018015";"CABO DE AÇO 1/8 REVESTIDO"
"932001005";"CLIPS GALVANIZADO P/ CABO DE AÇO, DN 1/8"
"1911001002";"CABO ATERRAMENTO 0.75 kV (70 GR) CL2 (SHF1) SECAO 4mm2"
"1911001003";"CABO ATERRAMENTO 0.75 kV (70 GR) CL2 (SHF1) SECAO 6mm2"
"1911001004";"CABO ATERRAMENTO 0.75 kV (70 GR) CL2 (SHF1) SECAO 10mm2"
"1911001005";"CABO ATERRAMENTO 0.75 kV (70 GR) CL2 (SHF1) SECAO 16mm2"
"1911001006";"CABO ATERRAMENTO 0.75 kV (70 GR) CL2 (SHF1) SECAO 25mm2"
"1911002004";"CABO ATERRAMENTO; CLASSE 2; 0.6/1kV; 90 GRAUS; 6mm2"
"1911002005";"CABO ATERRAMENTO 0.6/1 kV (90 GR) CL2 (SHF2) SECAO 10mm2"
"1911002007";"CABO ATERRAMENTO 0.6/1 kV (90 GR) CL2 (SHF2) SECAO 25mm2"
"1911002010";"CABO ATERRAMENTO 0.6/1 kV (90 GR) CL2 (SHF2) SECAO 70mm2"
"1901001004";"CABO COBRE NU (MEIO-DURO) CLASSE 2A SECAO 25mm2"
"1905006011";"CABO POT. (VERDE) 0.6/1 kV (90 Gr) CL5 (EPR) SECAO 1 x 4mm2"
"1905006023";"CABO POT. (VERDE) 0.6/1 kV (90 Gr) CL5 (EPR) SECAO 1 x 25mm2"
"1905014001";"CABO POTENCIA 0.6/1 kV (90 Gr) CL2 (EPR) (1 x 2 x 2.5mm2 +T)"
"1905014002";"CABO POTENCIA 0.6/1 kV (90 Gr) CL2 (EPR) (1 x 3 x 6mm2 +T)"
"1905014003";"CABO POTENCIA 0.6/1 kV (90 Gr) CL2 (EPR) (1 x 3 x 2.5mm2 +T)"
